time,crank_v,pressure_v,state,rel_crank_ang,pressure_bar
0.29268,0.198872,-0.216568,nan,185.7963446475196,-2.2089936
0.2927,9.741331,-0.217226,nan,186.10966057441252,-2.2157052
0.29272,1.563611,-0.21887,nan,186.42297650130547,-2.232474
0.29274,0.198872,-0.216239,nan,186.73629242819842,-2.2056378
0.29276,9.653174,-0.216568,nan,187.04960835509138,-2.2089936
0.29278,9.864357,-0.217555,nan,187.36292428198433,-2.219061
0.2928,0.198872,-0.218213,nan,187.6762402088773,-2.2257725999999995
0.29282,9.212716,-0.217555,nan,187.98955613577021,-2.219061
0.29284,9.859752,-0.218213,nan,188.30287206266317,-2.2257725999999995
0.29286,0.199201,-0.217884,nan,188.61618798955612,-2.2224168
0.29288,8.022929,-0.219199,nan,188.92950391644908,-2.2358298
0.2929,9.863041,-0.217555,nan,189.24281984334203,-2.219061
0.29292,0.199201,-0.217555,nan,189.556135770235,-2.219061
0.29294,3.2961,-0.217226,nan,189.86945169712794,-2.2157052
0.29296,9.834752,-0.217226,nan,190.18276762402087,-2.2157052
0.29298,0.200517,-0.217226,nan,190.49608355091382,-2.2157052
0.293,0.198872,-0.218213,nan,190.80939947780678,-2.2257725999999995
0.29302,9.801857,-0.21887,nan,191.12271540469973,-2.232474
0.29304,0.200517,-0.218541,nan,191.4360313315927,-2.2291182
0.29306,0.198544,-0.217555,nan,191.74934725848564,-2.219061
0.29308,9.716989,-0.217884,nan,192.0626631853786,-2.2224168
0.2931,9.86666,-0.216568,nan,192.37597911227152,-2.2089936
0.29312,0.198544,-0.21887,nan,192.68929503916448,-2.232474
0.29314,9.530477,-0.217226,nan,193.00261096605743,-2.2157052
0.29316,9.855476,-0.217884,nan,193.3159268929504,-2.2224168
0.29318,0.201175,-0.218213,nan,193.62924281984334,-2.2257725999999995
0.2932,8.716998,-0.219199,nan,193.9425587467363,-2.2358298
0.29322,9.834423,-0.21887,nan,194.25587467362925,-2.232474
0.29324,0.199201,-0.21887,nan,194.56919060052218,-2.232474
0.29326,6.962425,-0.217226,nan,194.88250652741513,-2.2157052
0.29328,9.805147,-0.217884,nan,195.1958224543081,-2.2224168
0.2933,0.199201,-0.217226,nan,195.50913838120104,-2.2157052
0.29332,1.709328,-0.218213,nan,195.822454308094,-2.2257725999999995
0.29334,9.749226,-0.217884,nan,196.13577023498695,-2.2224168
0.29336,0.200517,-0.218541,nan,196.44908616187988,-2.2291182
0.29338,0.198215,-0.217555,nan,196.76240208877283,-2.219061
0.2934,9.652516,-0.217226,nan,197.07571801566579,-2.2157052
0.29342,9.748568,-0.217555,nan,197.38903394255874,-2.219061
0.29344,0.198215,-0.217555,nan,197.7023498694517,-2.219061
0.29346,9.388702,-0.217226,nan,198.01566579634465,-2.2157052
0.29348,9.708108,-0.217555,nan,198.3289817232376,-2.219061
0.2935,0.197886,-0.216897,nan,198.64229765013053,-2.2123494
0.29352,8.983771,-0.217555,nan,198.95561357702348,-2.219061
0.29354,9.672253,-0.218213,nan,199.26892950391644,-2.2257725999999995
0.29356,0.198215,-0.216568,nan,199.5822454308094,-2.2089936
0.29358,8.021943,-0.218213,nan,199.89556135770235,-2.2257725999999995
0.2936,9.649884,-0.217226,nan,200.2088772845953,-2.2157052
0.29362,0.198215,-0.217226,nan,200.52219321148826,-2.2157052
0.29364,4.649337,-0.217884,nan,200.83550913838118,-2.2224168
0.29366,9.614358,-0.217884,nan,201.14882506527414,-2.2224168
0.29368,0.198544,-0.216897,nan,201.4621409921671,-2.2123494
0.2937,0.197228,-0.218541,nan,201.77545691906005,-2.2291182
0.29372,9.565674,-0.216568,nan,202.088772845953,-2.2089936
0.29374,0.199201,-0.216897,nan,202.40208877284596,-2.2123494
0.29376,0.197557,-0.216897,nan,202.7154046997389,-2.2123494
0.29378,9.48278,-0.217555,nan,203.02872062663184,-2.219061
0.2938,9.64199,-0.216239,nan,203.3420365535248,-2.2056378
0.29382,0.197557,-0.217555,nan,203.65535248041775,-2.219061
0.29384,9.240348,-0.217226,nan,203.9686684073107,-2.2157052
0.29386,9.596924,-0.216897,nan,204.28198433420366,-2.2123494
0.29388,0.197228,-0.217555,nan,204.5953002610966,-2.219061
0.2939,8.889693,-0.217555,nan,204.90861618798954,-2.219061
0.29392,9.685082,-0.216897,nan,205.2219321148825,-2.2123494
0.29394,0.198215,-0.216897,nan,205.53524804177545,-2.2123494
0.29396,7.557478,-0.216897,nan,205.8485639686684,-2.2123494
0.29398,9.666003,-0.21591,nan,206.16187989556136,-2.202282
0.294,0.198544,-0.217555,nan,206.4751958224543,-2.219061
0.29402,1.993525,-0.216568,nan,206.78851174934726,-2.2089936
0.29404,9.626858,-0.215581,nan,207.1018276762402,-2.1989262
0.29406,0.198872,-0.216897,nan,207.41514360313315,-2.2123494
0.29408,0.197228,-0.216239,nan,207.7284595300261,-2.2056378
0.2941,9.578503,-0.216897,nan,208.04177545691905,-2.2123494
0.29412,0.198544,-0.21591,nan,208.355091383812,-2.202282
0.29414,0.197557,-0.216239,nan,208.66840731070496,-2.2056378
0.29416,9.481135,-0.216239,nan,208.98172323759792,-2.2056378
0.29418,9.631792,-0.216568,nan,209.29503916449084,-2.2089936
0.2942,0.197228,-0.216239,nan,209.6083550913838,-2.2056378
0.29422,9.177848,-0.216239,nan,209.92167101827675,-2.2056378
0.29424,9.618635,-0.21591,nan,210.2349869451697,-2.202282
0.29426,0.197886,-0.214594,nan,210.54830287206266,-2.1888587999999998
0.29428,8.558118,-0.21591,nan,210.86161879895562,-2.202282
0.2943,9.594293,-0.214923,nan,211.17493472584857,-2.1922146
0.29432,0.196241,-0.21591,nan,211.4882506527415,-2.202282
0.29434,5.70292,-0.215252,nan,211.80156657963445,-2.1955704
0.29436,9.574885,-0.216239,nan,212.1148825065274,-2.2056378
0.29438,0.197886,-0.215252,nan,212.42819843342036,-2.1955704
0.2944,0.197228,-0.216239,nan,212.74151436031332,-2.2056378
0.29442,9.546925,-0.214594,nan,213.05483028720627,-2.1888587999999998
0.29444,0.19953,-0.214594,nan,213.3681462140992,-2.1888587999999998
0.29446,0.19657,-0.214923,nan,213.68146214099215,-2.1922146
0.29448,9.491991,-0.214594,nan,213.9947780678851,-2.1888587999999998
0.2945,9.621266,-0.214594,nan,214.30809399477806,-2.1888587999999998
0.29452,0.197228,-0.21295,nan,214.62140992167102,-2.17209
0.29454,9.322584,-0.213936,nan,214.93472584856397,-2.1821471999999997
0.29456,9.633437,-0.214594,nan,215.24804177545693,-2.1888587999999998
0.29458,0.200188,-0.214923,nan,215.56135770234985,-2.1922146
0.2946,8.86897,-0.214923,nan,215.8746736292428,-2.1922146
0.29462,9.641332,-0.214594,nan,216.18798955613576,-2.1888587999999998
0.29464,0.198544,-0.215252,nan,216.50130548302872,-2.1955704
0.29466,6.833481,-0.214923,nan,216.81462140992167,-2.1922146
0.29468,9.552188,-0.214265,nan,217.12793733681463,-2.1855029999999998
0.2947,0.198544,-0.213936,nan,217.44125326370758,-2.1821471999999997
0.29472,0.196899,-0.21295,nan,217.7545691906005,-2.17209
0.29474,9.517648,-0.213608,nan,218.06788511749346,-2.1788016
0.29476,0.198544,-0.212292,nan,218.38120104438642,-2.1653784
0.29478,0.197557,-0.213608,nan,218.69451697127937,-2.1788016
0.2948,9.506135,-0.21295,nan,219.00783289817232,-2.17209
0.29482,3.34248,-0.21295,nan,219.32114882506528,-2.17209
0.29484,0.197557,-0.213279,nan,219.6344647519582,-2.1754458
0.29486,9.40186,-0.212292,nan,219.94778067885116,-2.1653784
0.29488,9.601201,-0.212621,nan,220.26109660574411,-2.1687342
0.2949,0.197886,-0.212621,nan,220.57441253263707,-2.1687342
0.29492,8.968969,-0.210976,nan,220.88772845953002,-2.1519551999999997
0.29494,9.607122,-0.212621,nan,221.20104438642298,-2.1687342
0.29496,0.201175,-0.212292,nan,221.51436031331593,-2.1653784
0.29498,7.19663,-0.212621,nan,221.82767624020886,-2.1687342
0.295,9.597911,-0.211305,nan,222.1409921671018,-2.1553109999999998
0.29502,0.197886,-0.211963,nan,222.45430809399477,-2.1620226
0.29504,0.200517,-0.210647,nan,222.76762402088772,-2.1485993999999997
0.29506,9.565017,-0.211634,nan,223.08093994778068,-2.1586667999999998
0.29508,0.198872,-0.211634,nan,223.39425587467363,-2.1586667999999998
0.2951,0.197228,-0.210318,nan,223.7075718015666,-2.1452435999999997
0.29512,9.57653,-0.211634,nan,224.0208877284595,-2.1586667999999998
0.29514,0.194267,-0.212292,nan,224.33420365535247,-2.1653784
0.29516,0.197228,-0.209989,nan,224.64751958224542,-2.1418878
0.29518,9.444952,-0.211305,nan,224.96083550913838,-2.1553109999999998
0.2952,9.648898,-0.20966,nan,225.27415143603133,-2.138532
